City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,mirpur sakro,24.5474,67.6277,25.38,35,0,2.16,PK,1731958630
83,stephenville,32.2207,-98.2023,20.94,35,0,9.77,US,1731958631
84,kruisfontein,-34.0033,24.7314,15.99,89,21,2.39,ZA,1731958632
85,east london,-33.0153,27.9116,20.53,79,78,2.14,ZA,1731958633
86,bani mazar,28.5036,30.8004,17.45,44,0,3.05,EG,1731958634
87,princeville,45.7668,-61.2985,5.96,96,100,5.66,CA,1731958636
88,island harbour,50.724,-1.2758,10.04,93,100,1.34,GB,1731958637
89,omutinskiy,56.4745,67.6709,-0.71,92,100,4.91,RU,1731958638
90,antofagasta,-23.65,-70.4,19.6,79,100,3.42,CL,1731958639
91,yeniseysk,58.4497,92.1703,-0.86,90,100,4.79,RU,1731958640
92,tomarza,38.4472,35.7992,5.01,84,48,0.64,TR,1731958641
93,sinabang,2.4803,96.3801,26.3,86,100,0.58,ID,1731958642
94,yellowknife,62.456,-114.3525,-14.23,93,100,6.71,CA,1731958644
95,pathein,16.7833,94.7333,22.07,85,49,2.29,MM,1731958645
96,holualoa,19.6228,-155.9522,25.3,74,0,4.63,US,1731958647
97,aasiaat,68.7098,-52.8699,-14.64,80,23,5.95,GL,1731958648
98,gerash,27.6652,54.1371,15.08,39,0,1.19,IR,1731958649
99,lebu,-37.6167,-73.65,15.64,66,0,4.09,CL,1731958650
100,balabac,7.9868,117.0645,27.94,78,100,5.63,PH,1731958651
101,kerikeri,-35.2268,173.9474,16.06,79,1,0.45,NZ,1731958653
102,sao jose da coroa grande,-8.8978,-35.1478,25.86,71,1,3.62,BR,1731958654
103,tanout,14.9709,8.8879,22.56,18,5,5.2,NE,1731958655
104,happy valley-goose bay,53.3168,-60.3315,4.17,93,100,2.06,CA,1731958656
105,okha,53.5739,142.9478,-8.16,85,100,9.94,RU,1731958657
106,dudinka,69.4058,86.1778,-17.02,97,100,4.38,RU,1731958658
107,dingtao,35.0683,115.5625,6.2,67,90,1.16,CN,1731958659
108,suntar,62.1444,117.6319,-10.33,97,100,1.43,RU,1731958661
109,ta`u,-14.2336,-169.5144,27.12,81,81,6.87,AS,1731958662
110,st. john's,47.5649,-52.7093,10.81,97,100,2.06,CA,1731958663
111,sovetskaya gavan',48.9723,140.2878,-10.45,50,0,4.89,RU,1731958664
112,marsabit,2.3284,37.9899,21.65,64,44,4.84,KE,1731958665
113,carnarvon,-24.8667,113.6333,21.01,85,100,1.61,AU,1731958666
114,port mathurin,-19.6833,63.4167,24.73,91,12,10.47,MU,1731958667
115,georgetown,5.4112,100.3354,25.75,86,20,1.54,MY,1731958669
116,constantia,44.1833,28.65,-0.62,61,99,2.59,RO,1731958670
117,puerto ayora,-0.7393,-90.3518,24.19,79,17,2.24,EC,1731958671
118,akureyri,65.6835,-18.0878,-5.04,80,75,6.69,IS,1731958672
119,olonkinbyen,70.9221,-8.7187,-5.06,62,100,10.7,SJ,1731958673
120,bandarbeyla,9.4942,50.8122,26.02,72,79,8.29,SO,1731958674
121,new norfolk,-42.7826,147.0587,7.62,79,8,0.84,AU,1731958675
122,manggar,-2.8833,108.2667,25.71,83,100,0.39,ID,1731958677
123,nouadhibou,20.931,-17.0347,22.99,60,40,6.17,MR,1731958678
124,orsa,54.5153,30.4053,3.29,69,100,6.37,BY,1731958679
125,vilyuysk,63.7553,121.6247,-15.82,97,99,2.29,RU,1731958680
126,chonchi,-42.6128,-73.8092,19.7,39,36,0.97,CL,1731958681
127,avarua,-21.2078,-159.775,24.03,78,75,7.72,CK,1731958682
128,anna regina,7.2644,-58.5077,27.8,79,100,4.1,GY,1731958683
129,camocim,-2.9022,-40.8411,28.73,68,6,10.22,BR,1731958685
130,magong,23.5654,119.5863,21.79,83,100,19.79,TW,1731958686
131,tazacorte,28.629,-17.9293,18.42,89,20,2.68,ES,1731958687
132,iskateley,67.6803,53.1512,-11.76,94,99,6.27,RU,1731958688
133,nefta,33.8731,7.8777,20.14,24,0,3.4,TN,1731958689
134,ciudad lazaro cardenas,17.9583,-102.2,29.57,67,100,3.27,MX,1731958690
135,kidal,18.4411,1.4078,23.33,12,37,5.15,ML,1731958691
136,kingston,17.997,-76.7936,29.53,66,20,3.09,JM,1731958693
137,stanley,54.868,-1.6985,-1.07,88,0,0.51,GB,1731958694
138,pionerskiy,54.9508,20.2275,3.91,79,93,7.81,RU,1731958696
139,san patricio,28.017,-97.5169,30.97,37,77,6.43,US,1731958697
140,contamana,-7.3333,-75.0167,29.75,62,87,0.96,PE,1731958698
141,margate,51.3813,1.3862,5.99,86,100,5.44,GB,1731958700
142,enewetak,11.3474,162.3373,28.44,74,1,8.22,MH,1731958701
143,labytnangi,66.6572,66.4183,-17.37,97,100,2.96,RU,1731958702
144,punta arenas,-53.15,-70.9167,16.06,44,40,5.66,CL,1731958704
145,nantucket,41.2835,-70.0995,14.06,35,0,5.14,US,1731958705
146,opuwo,-18.0607,13.84,25.54,41,99,5.28,NA,1731958707
147,selfoss,63.9331,-20.9971,-6.43,75,12,5.07,IS,1731958708
148,longyearbyen,78.2186,15.6401,-11.09,79,0,4.63,SJ,1731958709
149,kuragino,53.8975,92.6725,-2.76,91,100,2.12,RU,1731958710
150,taco pozo,-25.6167,-63.2833,16.8,94,100,4.28,AR,1731958711
151,yesilhisar,38.3497,35.0867,7.0,79,19,0.49,TR,1731958712
152,kodiak,57.79,-152.4072,-4.27,63,0,6.69,US,1731958713
153,ust-nera,64.5667,143.2,-24.36,99,100,0.86,RU,1731958715
154,muisne,0.6,-80.0333,25.72,74,62,4.74,EC,1731958716
155,kalmunai,7.4167,81.8167,25.62,86,77,2.53,LK,1731958717
156,balqash,46.8481,74.995,1.7,75,70,5.82,KZ,1731958718
157,rehau,50.25,12.0333,1.87,94,20,2.06,DE,1731958719
158,arraial do cabo,-22.9661,-42.0278,26.92,74,20,10.29,BR,1731958720
159,chehalis,46.662,-122.964,4.49,98,75,3.09,US,1731958721
160,cockburn town,21.4612,-71.1419,25.98,73,40,4.12,TC,1731958723
161,kone,-21.0595,164.8658,24.75,67,7,1.98,NC,1731958724
162,vadso,70.0744,29.7487,1.09,93,75,8.23,NO,1731958725
163,west island,-12.1568,96.8225,26.99,83,75,5.66,CC,1731958726
164,shingu,33.7333,135.9833,6.2,77,4,3.03,JP,1731958727
165,tolanaro,-25.0319,46.9987,26.04,78,40,11.83,MG,1731958728
166,ghat,24.9647,10.1728,20.46,21,99,1.13,LY,1731958729
167,dahab,28.501,34.5134,21.21,47,0,5.62,EG,1731958730
168,haiku-pauwela,20.9219,-156.3051,24.33,67,20,11.62,US,1731958732
169,mount gambier,-37.8333,140.7667,10.46,75,69,1.34,AU,1731958733
170,nizao,18.25,-70.2,28.15,59,80,7.54,DO,1731958734
171,nagqu,31.5,92.0,-6.44,30,55,1.74,CN,1731958735
172,tchintabaraden,15.8969,5.7985,23.59,15,3,5.24,NE,1731958736
173,pangody,65.85,74.4859,-16.76,99,86,2.17,RU,1731958737
174,qaqortoq,60.7167,-46.0333,-8.88,59,0,3.89,GL,1731958738
175,arkhangel'sk,64.5401,40.5433,1.06,100,100,4.0,RU,1731958740
176,broome,42.2506,-75.833,13.75,54,0,5.66,US,1731958741
177,luderitz,-26.6481,15.1594,18.68,62,6,5.23,NA,1731958742
178,port augusta,-32.5,137.7667,14.92,66,0,3.27,AU,1731958743
179,bonthe,7.5264,-12.505,27.22,79,99,3.77,SL,1731958744
180,pyhajarvi,67.0701,27.2176,-3.32,88,48,3.34,FI,1731958745
